Marca;Modelo;Tipo;Combustível;Impacto;Custo;Ano;Km;Cor;Cor_Tipo;Nº Portas;Dimensão;Capacidade_Carga;Ar Condicionado;Tipo de Caixa;Tração;Cavalos;Preço;Tecnologia;Segurança
Ford;Mustang;SUPERCAR;Diesel;Alto;Normal;2006;216481;Prata;Prolado;5;Pequeno;Pequeno;Sim;Manual;4x4;181;87589.0;"AssitenciaArranque;AssistenteEstacionamento;PainelDigital;EcoMode;Autopilot;CruiseControl";"AssistenteTravagem;AssitenciaTrajetoria;ControleTração"
Toyota;Camry;Hatch Back;Elétrico;Sustentável;Baixo;2018;59742;Verde;Fluorescente;5;Pequeno;Grande;Sim;Automática;4x4;341;51028.5;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Ford;Focus;Sedan;Diesel;Alto;Normal;2002;203427;Prata;Cromado;5;Pequeno;Grande;Sim;Automática;4x4;198;41099.58;"EcoMode;GPS;Autopilot;CruiseControl;AssistenteEstacionamento";"AssistenteTravagem;AssitenciaTrajetoria;ControleTração;Airbags"
Volkswagen;Tiguan;COUPE;Diesel;Alto;Normal;2005;187186;Verde;Cromado;5;Pequeno;Pequeno;Sim;Automática;Traseira;320;54283.57;"CruiseControl;GPS;EcoMode";"Airbags;AssistenteTravagem;AssitenciaTrajetoria;ABS"
Porsche;Panamera;CUV;Elétrico;Sustentável;Baixo;2023;53569;Cinza;Cromado;3;Grande;Grande;Sim;Manual;Traseira;197;31324.13;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Volkswagen;Polo;COUPE;Diesel;Alto;Normal;2008;107746;Preto;Prolado;5;Pequeno;Pequeno;Sim;Manual;Traseira;360;26938.15;"SOS;EcoMode;PainelDigital;AssistenteEstacionamento;GPS;CruiseControl";"AssitenciaTrajetoria;ControleTração;ABS"
BMW;i8;SUPERCAR;Diesel;Alto;Normal;2012;175918;Cinza;Metalico;3;Pequeno;Pequeno;Sim;Manual;Traseira;488;107074.67;"Autopilot;SOS;AssitenciaArranque;CruiseControl;EcoMode;GPS";"ControleTração;ABS;Airbags"
Ford;Fiesta;Sedan;Diesel;Alto;Normal;2015;72076;Preto;Cromado;5;Pequeno;Grande;Sim;Manual;4x4;180;104423.75;"PainelDigital;Autopilot;AssitenciaArranque;EcoMode;GPS;AssistenteEstacionamento;CruiseControl";"Airbags;AssistenteTravagem;ControleTração"
Porsche;Panamera;SUV;Diesel;Alto;Normal;2019;128165;Branco;Metalico;3;Grande;Grande;Sim;Manual;Traseira;434;52809.95;"PainelDigital;Autopilot;GPS;SOS;AssitenciaArranque;AssistenteEstacionamento;CruiseControl;EcoMode";"AssitenciaTrajetoria;AssistenteTravagem;ABS"
BMW;X5;CUV;Elétrico;Sustentável;Baixo;2023;36504;Vermelho;Cromado;5;Grande;Grande;Sim;Manual;4x4;111;47672.69;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;Civic;SUV;Elétrico;Sustentável;Baixo;2017;51560;Preto;Fluorescente;3;Grande;Grande;Sim;Automática;4x4;541;60953.54;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Chevrolet;Tahoe;Sedan;Elétrico;Sustentável;Baixo;2022;52580;Cinza;Prolado;3;Pequeno;Grande;Sim;Manual;4x4;538;100633.82;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Porsche;Macan;Hatch Back;Gasolina;Baixo;Elevado;2017;89450;Branco;Fosco;3;Pequeno;Grande;Sim;Automática;4x4;464;16402.12;"AssistenteEstacionamento;CruiseControl;PainelDigital;SOS;Autopilot;EcoMode;AssitenciaArranque;GPS";"AssitenciaTrajetoria;ABS;AssistenteTravagem"
Chevrolet;Spark;CUV;Gasolina;Baixo;Elevado;1998;168466;Branco;Cromado;3;Grande;Grande;Não;Manual;Dianteira;120;61816.59;"GPS;AssistenteEstacionamento;EcoMode;SOS;PainelDigital;AssitenciaArranque;Autopilot;CruiseControl";"ControleTração;ABS;AssistenteTravagem;AssitenciaTrajetoria;Airbags"
Mercedes;GLE;SUV;Elétrico;Sustentável;Baixo;2016;48782;Branco;Fluorescente;5;Grande;Grande;Sim;Automática;Traseira;413;4046.5;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Porsche;Panamera;Sedan;Gasolina;Baixo;Elevado;2018;127334;Branco;Fosco;3;Pequeno;Grande;Sim;Automática;Traseira;304;72805.36;"EcoMode;PainelDigital;SOS;GPS;AssitenciaArranque;Autopilot";"Airbags;AssistenteTravagem;ControleTração"
Toyota;Yaris;CUV;Gasolina;Baixo;Elevado;2015;126989;Cinza;Prolado;5;Grande;Grande;Sim;Manual;Dianteira;477;9184.25;"SOS;AssistenteEstacionamento;GPS;AssitenciaArranque;CruiseControl;EcoMode;Autopilot;PainelDigital";"Airbags;AssitenciaTrajetoria;ControleTração;ABS"
Ford;Escape;SUPERCAR;Gasolina;Baixo;Elevado;2019;148172;Prata;Prolado;5;Pequeno;Pequeno;Sim;Automática;Traseira;144;18140.86;"CruiseControl;GPS;EcoMode";"Airbags;ControleTração;AssitenciaTrajetoria;AssistenteTravagem;ABS"
Ford;Focus;CUV;Gasolina;Baixo;Elevado;2005;230029;Preto;Metalico;3;Grande;Grande;Sim;Automática;Dianteira;566;108419.17;"SOS;PainelDigital;GPS;EcoMode;AssitenciaArranque;Autopilot;AssistenteEstacionamento;CruiseControl";"ControleTração;ABS;Airbags;AssitenciaTrajetoria;AssistenteTravagem"
Porsche;Panamera;SUPERCAR;Gasolina;Baixo;Elevado;2012;89617;Vermelho;Cromado;5;Pequeno;Pequeno;Sim;Manual;Dianteira;408;49278.27;"AssitenciaArranque;GPS;AssistenteEstacionamento;EcoMode;SOS;Autopilot";"ControleTração;AssitenciaTrajetoria;ABS;AssistenteTravagem;Airbags"
Volkswagen;Polo;SUPERCAR;Diesel;Alto;Normal;2003;172591;Verde;Prolado;5;Pequeno;Pequeno;Não;Manual;Dianteira;274;35479.11;"GPS;PainelDigital;AssitenciaArranque;EcoMode;CruiseControl;SOS;Autopilot;AssistenteEstacionamento";"ABS;ControleTração;AssitenciaTrajetoria;Airbags"
Volkswagen;Golf;SUPERCAR;Gasolina;Baixo;Elevado;2000;181473;Azul;Fluorescente;3;Pequeno;Pequeno;Não;Automática;4x4;493;6543.81;"EcoMode;GPS;Autopilot;SOS;AssitenciaArranque;CruiseControl;AssistenteEstacionamento;PainelDigital";"AssitenciaTrajetoria;AssistenteTravagem;ABS"
Honda;CR-V;Sedan;Gasolina;Baixo;Elevado;2010;95700;Cinza;Metalico;5;Pequeno;Grande;Sim;Automática;Dianteira;95;49617.48;"SOS;EcoMode;AssitenciaArranque;PainelDigital;GPS;AssistenteEstacionamento;Autopilot";"ABS;ControleTração;Airbags;AssistenteTravagem"
Honda;Civic;COUPE;Gasolina;Baixo;Elevado;2016;146599;Vermelho;Metalico;3;Pequeno;Pequeno;Sim;Automática;4x4;365;48106.41;"AssitenciaArranque;Autopilot;PainelDigital;AssistenteEstacionamento;EcoMode;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;AssistenteTravagem"
Audi;A4;CUV;Gasolina;Baixo;Elevado;2019;116488;Cinza;Cromado;3;Grande;Grande;Sim;Automática;4x4;143;47394.69;"PainelDigital;AssitenciaArranque;EcoMode;AssistenteEstacionamento;Autopilot;GPS;CruiseControl";"AssitenciaTrajetoria;AssistenteTravagem;ABS;Airbags;ControleTração"
Ford;Escape;SUPERCAR;Diesel;Alto;Normal;1999;213844;Branco;Fosco;3;Pequeno;Pequeno;Sim;Manual;Traseira;188;77188.62;"GPS;SOS;AssistenteEstacionamento;Autopilot;PainelDigital;CruiseControl;EcoMode;AssitenciaArranque";"AssistenteTravagem;AssitenciaTrajetoria;ABS;Airbags"
BMW;X5;SUV;Diesel;Alto;Normal;2001;238999;Vermelho;Fluorescente;3;Grande;Grande;Não;Automática;Traseira;316;36533.26;"GPS;EcoMode;AssistenteEstacionamento";"ABS;ControleTração;Airbags;AssitenciaTrajetoria;AssistenteTravagem"
Chevrolet;Tahoe;Sedan;Elétrico;Sustentável;Baixo;2019;50720;Branco;Fosco;3;Pequeno;Grande;Sim;Automática;4x4;351;114009.91;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;C-Class;SUPERCAR;Elétrico;Sustentável;Baixo;2018;52508;Preto;Fluorescente;3;Pequeno;Pequeno;Sim;Manual;Dianteira;325;93173.06;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Ford;Fiesta;COUPE;Elétrico;Sustentável;Baixo;2022;55642;Cinza;Fluorescente;5;Pequeno;Pequeno;Sim;Manual;4x4;468;45493.32;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;E-Class;SUV;Elétrico;Sustentável;Baixo;2018;57242;Verde;Fluorescente;5;Grande;Grande;Sim;Automática;Dianteira;491;84341.22;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Chevrolet;Suburban;Sedan;Elétrico;Sustentável;Baixo;2018;48053;Vermelho;Fluorescente;3;Pequeno;Grande;Sim;Automática;Dianteira;404;98192.89;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;GLE;CUV;Elétrico;Sustentável;Baixo;2023;37207;Vermelho;Prolado;3;Grande;Grande;Sim;Manual;4x4;578;108679.61;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Volkswagen;Tiguan;SUPERCAR;Elétrico;Sustentável;Baixo;2017;41346;Branco;Fosco;5;Pequeno;Pequeno;Sim;Manual;4x4;332;117522.41;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Porsche;Cayenne;SUPERCAR;Diesel;Alto;Normal;2019;72751;Azul;Metalico;3;Pequeno;Pequeno;Sim;Automática;Dianteira;529;119098.21;"AssitenciaArranque;AssistenteEstacionamento;PainelDigital;EcoMode;Autopilot;GPS;CruiseControl";"ControleTração;AssistenteTravagem;AssitenciaTrajetoria;Airbags"
BMW;X5;COUPE;Elétrico;Sustentável;Baixo;2019;42177;Azul;Prolado;5;Pequeno;Pequeno;Sim;Manual;4x4;91;19240.48;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Chevrolet;Malibu;Sedan;Diesel;Alto;Normal;1998;248353;Verde;Prolado;5;Pequeno;Grande;Sim;Manual;Dianteira;461;119790.51;"Autopilot;EcoMode;CruiseControl;PainelDigital;AssistenteEstacionamento";"AssistenteTravagem;Airbags;ControleTração;AssitenciaTrajetoria"
Tesla;Model Y;COUPE;Elétrico;Sustentável;Baixo;2020;53534;Preto;Fosco;3;Pequeno;Pequeno;Sim;Automática;4x4;222;65232.06;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;GLE;Hatch Back;Gasolina;Baixo;Elevado;2005;182787;Preto;Metalico;3;Pequeno;Grande;Não;Automática;4x4;337;70108.24;"CruiseControl;GPS;AssistenteEstacionamento;EcoMode;Autopilot";"ControleTração;ABS;AssistenteTravagem;Airbags;AssitenciaTrajetoria"
Honda;Accord;Sedan;Diesel;Alto;Normal;2023;34844;Branco;Prolado;5;Pequeno;Grande;Sim;Manual;Dianteira;358;112740.25;"EcoMode;SOS;Autopilot;GPS;AssistenteEstacionamento;PainelDigital;CruiseControl";"AssitenciaTrajetoria;ABS;AssistenteTravagem;ControleTração;Airbags"
BMW;X3;CUV;Diesel;Alto;Normal;1996;234038;Vermelho;Prolado;5;Grande;Grande;Sim;Automática;Traseira;232;90064.53;"AssistenteEstacionamento;PainelDigital;CruiseControl";"Airbags;AssitenciaTrajetoria;AssistenteTravagem;ControleTração;ABS"
Honda;Fit;COUPE;Gasolina;Baixo;Elevado;2021;41537;Vermelho;Metalico;5;Pequeno;Pequeno;Sim;Manual;Dianteira;182;64531.72;"AssitenciaArranque;AssistenteEstacionamento;Autopilot;PainelDigital;GPS;EcoMode;SOS";"AssistenteTravagem;ControleTração;Airbags;ABS;AssitenciaTrajetoria"
BMW;X5;SUPERCAR;Gasolina;Baixo;Elevado;2022;35656;Verde;Metalico;5;Pequeno;Pequeno;Sim;Manual;Dianteira;121;103586.41;"Autopilot;PainelDigital;EcoMode;AssistenteEstacionamento";"Airbags;AssitenciaTrajetoria;ABS"
BMW;X3;CUV;Elétrico;Sustentável;Baixo;2017;37265;Branco;Metalico;3;Grande;Grande;Sim;Automática;Dianteira;300;74671.38;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Tesla;Model S;CUV;Gasolina;Baixo;Elevado;2014;131933;Vermelho;Metalico;3;Grande;Grande;Sim;Automática;Dianteira;347;84628.83;"PainelDigital;Autopilot;CruiseControl;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque";"ControleTração;Airbags;AssitenciaTrajetoria;ABS;AssistenteTravagem"
Porsche;911;SUV;Gasolina;Baixo;Elevado;2000;219018;Cinza;Fluorescente;3;Grande;Grande;Sim;Automática;Traseira;559;26220.43;"GPS;EcoMode;AssitenciaArranque;SOS;AssistenteEstacionamento;PainelDigital;Autopilot;CruiseControl";"AssistenteTravagem;Airbags;ControleTração"
Audi;Q7;SUV;Gasolina;Baixo;Elevado;2010;99199;Prata;Fosco;5;Grande;Grande;Sim;Manual;4x4;279;83008.77;"AssitenciaArranque;AssistenteEstacionamento;Autopilot;SOS;EcoMode;GPS";"ABS;AssistenteTravagem;ControleTração"
Tesla;Model 3;CUV;Diesel;Alto;Normal;2008;140651;Branco;Prolado;3;Grande;Grande;Sim;Manual;4x4;596;53278.25;"AssistenteEstacionamento;EcoMode;Autopilot;AssitenciaArranque;CruiseControl;GPS;PainelDigital";"Airbags;AssitenciaTrajetoria;AssistenteTravagem"
Toyota;Corolla;SUV;Elétrico;Sustentável;Baixo;2020;56826;Branco;Prolado;3;Grande;Grande;Sim;Manual;Dianteira;425;63052.59;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Toyota;Corolla;COUPE;Gasolina;Baixo;Elevado;2016;170755;Preto;Prolado;5;Pequeno;Pequeno;Sim;Automática;Dianteira;330;47929.36;"EcoMode;AssistenteEstacionamento;PainelDigital;AssitenciaArranque;GPS;Autopilot";"ABS;AssistenteTravagem;ControleTração;AssitenciaTrajetoria;Airbags"
Mercedes;E-Class;COUPE;Elétrico;Sustentável;Baixo;2018;41303;Preto;Fluorescente;5;Pequeno;Pequeno;Sim;Manual;Traseira;230;106328.08;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;C-Class;CUV;Gasolina;Baixo;Elevado;2011;65939;Vermelho;Fluorescente;3;Grande;Grande;Sim;Automática;4x4;564;111356.67;"AssistenteEstacionamento;PainelDigital;GPS;CruiseControl;SOS";"ABS;AssistenteTravagem;AssitenciaTrajetoria"
Honda;HR-V;COUPE;Elétrico;Sustentável;Baixo;2019;55208;Azul;Fosco;5;Pequeno;Pequeno;Sim;Automática;Dianteira;486;67846.22;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Honda;Accord;SUV;Elétrico;Sustentável;Baixo;2021;55361;Azul;Cromado;3;Grande;Grande;Sim;Automática;Dianteira;498;58193.19;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Toyota;Camry;Sedan;Diesel;Alto;Normal;2014;101767;Verde;Cromado;5;Pequeno;Grande;Sim;Manual;4x4;470;94199.85;"SOS;CruiseControl;EcoMode;GPS";"AssitenciaTrajetoria;ControleTração;ABS;Airbags"
Tesla;Model 3;Sedan;Diesel;Alto;Normal;2023;47928;Preto;Metalico;5;Pequeno;Grande;Sim;Manual;Traseira;547;23380.11;"Autopilot;AssitenciaArranque;PainelDigital;AssistenteEstacionamento;EcoMode";"AssitenciaTrajetoria;Airbags;ABS;AssistenteTravagem"
Toyota;Corolla;Sedan;Gasolina;Baixo;Elevado;2012;101079;Vermelho;Fosco;3;Pequeno;Grande;Sim;Manual;4x4;89;68513.2;"SOS;Autopilot;PainelDigital;AssitenciaArranque;GPS;CruiseControl";"AssistenteTravagem;AssitenciaTrajetoria;Airbags;ControleTração"
Ford;Mustang;SUPERCAR;Elétrico;Sustentável;Baixo;2017;59221;Azul;Cromado;3;Pequeno;Pequeno;Sim;Manual;Traseira;551;111876.58;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Mercedes;A-Class;SUV;Gasolina;Baixo;Elevado;1999;159483;Cinza;Prolado;3;Grande;Grande;Sim;Manual;Traseira;406;43909.68;"AssitenciaArranque;CruiseControl;EcoMode;SOS;GPS;AssistenteEstacionamento";"ControleTração;Airbags;AssitenciaTrajetoria;ABS"
Ford;Focus;Sedan;Elétrico;Sustentável;Baixo;2018;46641;Prata;Fosco;3;Pequeno;Grande;Sim;Automática;Dianteira;393;46751.12;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Tesla;Model S;Sedan;Elétrico;Sustentável;Baixo;2019;48842;Azul;Metalico;3;Pequeno;Grande;Sim;Manual;4x4;172;38827.41;"Autopilot;GPS;PainelDigital;AssistenteEstacionamento;SOS;EcoMode;AssitenciaArranque;CruiseControl";"ABS;AssitenciaTrajetoria;Airbags;ControleTração;AssistenteTravagem"
Tesla;Model 3;SUPERCAR;Diesel;Alto;Normal;2016;130177;Azul;Metalico;3;Pequeno;Pequeno;Sim;Automática;4x4;73;6557.23;"CruiseControl;PainelDigital;AssitenciaArranque;GPS;SOS;EcoMode;AssistenteEstacionamento";"AssistenteTravagem;Airbags;AssitenciaTrajetoria;ControleTração"
Porsche;Cayenne;Sedan;Gasolina;Baixo;Elevado;2023;54236;Preto;Fosco;3;Pequeno;Grande;Sim;Manual;Dianteira;543;3482.72;"SOS;AssitenciaArranque;EcoMode;PainelDigital;CruiseControl;GPS";"ABS;AssistenteTravagem;ControleTração;AssitenciaTrajetoria"
Volkswagen;Golf;COUPE;Diesel;Alto;Normal;2013;88075;Prata;Fluorescente;3;Pequeno;Pequeno;Sim;Automática;Dianteira;472;68517.11;"CruiseControl;EcoMode;AssistenteEstacionamento;AssitenciaArranque;GPS;SOS;Autopilot;PainelDigital";"AssistenteTravagem;ControleTração;ABS"
